,alpha+1e-15,alpha+1e-10,alpha+1e-08,alpha+0.0001,alpha+0.001,alpha+0.01,alpha+1,alpha+5,alpha+10,alpha+20
rss,1.396216588672169,1.4662603039935629,1.4839415587951341,1.4987317963093667,1.5694061724179116,1.961880655876729,6.21361701407101,14.265096155936167,18.383916682746083,23.01009312515974
intercept,-131.11104021955956,-2.8068291118339195,0.7501053485337763,0.45742196311691224,0.8727523979545894,1.3585343719064733,0.9300238683913815,0.5070405123896506,0.35953219016506216,0.2364392653105171
coef_x_1,537.7579407828281,10.910618338333256,-0.16410505385764138,0.6894311290446753,0.27617786044665105,-0.1405914496308231,-0.14153175932131382,-0.05915505580858359,-0.03732471545332852,-0.022487102909090468
coef_x_2,-924.7244144018105,-12.553809025657829,0.6076133923039385,-0.17339762130441122,-0.09932848915110026,-0.05393066024866672,-0.019269272994880012,-0.008485872992473976,-0.005499884461201305,-0.003387056383064963
coef_x_3,866.7450908704113,6.928558709652661,-0.284982891100522,-0.03246191511958534,-0.020926510710336063,-0.009639983982322936,-0.002955175101856033,-0.0014029452613585906,-0.0009396757348820824,-0.0005935121818889868
coef_x_4,-471.3149529411112,-1.540897216555429,-0.0016609826909006976,-0.002621959431817613,-0.0024768494114156036,-0.0012184153438812631,-0.000450959892389049,-0.0002368623289589335,-0.00016489064660058642,-0.00010708890846280493
coef_x_5,140.83484454452912,-0.08727074376095487,0.010091572813708028,0.0001995244864772958,-0.00010039418062808659,-8.728997964542057e-05,-6.656698417958044e-05,-3.998306038741533e-05,-2.909292069402907e-05,-1.9466498242990705e-05
coef_x_6,-15.422371725062938,0.05889632552375086,0.0009377597832433902,0.0001232772493633332,4.102411294378572e-05,8.449284973365652e-06,-9.327399679457942e-06,-6.720493658073742e-06,-5.141153008845781e-06,-3.549612900982086e-06
coef_x_7,-2.5994665770708907,0.007538652264869181,-0.00027461342427936375,2.869920985842909e-05,1.5292140174932143e-05,5.198354303594781e-06,-1.2004676737920236e-06,-1.1238468491408255e-06,-9.09617420005716e-07,-6.488322211871747e-07
coef_x_8,0.5848774635234011,-0.0015146297548304915,-8.313944552906235e-05,4.742853754099298e-06,3.528403335878528e-06,1.4009908893508179e-06,-1.3029940816829122e-07,-1.868877169650195e-07,-1.6117542603044998e-07,-1.188940235067786e-07
coef_x_9,0.10136623237215385,-0.0005332784599106422,-3.611929302153066e-06,5.616840392282335e-07,6.537220990234374e-07,2.933715146954887e-07,-8.084811863930676e-09,-3.087940666855388e-08,-2.8608712664184798e-08,-2.1842730386026907e-08
coef_x_10,-0.018900763659177193,-2.4131336326155975e-05,3.1185201911389413e-06,2.7186075861252503e-08,1.0055839143266147e-07,5.193505170995415e-08,1.30506059330632e-09,-5.062819940326945e-09,-5.08778333827432e-09,-4.023342008000266e-09
coef_x_11,-0.0054100058246985315,1.910324005535399e-05,9.000553841350302e-07,-8.819264517911436e-09,1.1742926384732318e-08,7.64969600693285e-09,7.328667216032021e-10,-8.220149214834361e-10,-9.066050629743262e-10,-7.42990813556196e-10
coef_x_12,0.0008394418864856222,4.4682149513110224e-06,5.745673854451726e-08,-3.5023441104587974e-09,4.623237930131707e-10,7.899380518286313e-10,2.2223598124831442e-10,-1.3178250971647534e-10,-1.6186910188279294e-10,-1.3754915313762168e-10
coef_x_13,0.00018679719394086138,-2.1007544603272799e-07,-3.4506075537985994e-08,-7.629825164783332e-10,-2.9026954611939484e-10,-1.4438024919943896e-11,5.6481123037407043e-11,-2.0770620588743312e-11,-2.8956225660619487e-11,-2.5524571527664124e-11
coef_x_14,-4.6060359562747756e-05,-2.6898597571945463e-07,-1.036792951690396e-08,-1.0262106904990888e-10,-1.3058610534814226e-10,-4.0026283667109056e-11,1.3190861085485276e-11,-3.1972605784431962e-12,-5.189366142788274e-12,-4.747073147955475e-12
coef_x_15,2.6604671331929074e-06,2.8346637881683453e-08,1.7163794794301875e-09,2.096999032743883e-12,-3.915533091072002e-11,-1.562050419254536e-11,2.932553185858754e-12,-4.754895245476491e-13,-9.31610954493865e-13,-8.847043849971986e-13
